cms_zone,num_trips,num_walk_trips,num_transit_trips,num_bike_trips,num_taxi_trips,num_tnc_trips,num_complete_weekend_days,num_complete_weekdays,first_travel_date,last_travel_date,made_trips,smartphone_type,age,employment,worker,student,license,vehicle,congestion,drive_cbd_freq,planning_apps,job_type,jobs_count,industry,telework_freq,work_cms_zone,missing_work_location,work_mode,work_mode_own,work_park_location,work_park_pay,work_vehicle_pass_period,work_park_amount_day,work_park_amount_week,work_park_amount_month,work_park_amount_year,work_mode_auto,work_mode_bus,work_mode_rail,work_mode_ferry,work_mode_taxi,work_mode_bike,work_bike_park,work_mode_scooter,work_scooter_park,school_type,school_cms_zone,missing_school_location,kid_accompany,school_mode,school_mode_own,school_park_location,school_vehicle_pass_period,school_park_amount_day,school_park_amount_month,school_park_amount_week,school_park_amount_year,school_mode_auto,school_mode_bus,school_mode_rail,school_mode_ferry,school_access,school_egress,school_mode_taxi,school_mode_bike,school_bike_park,school_mode_scooter,school_scooter_park,bike_freq,bike_num_days,bike_stolen,bike_purpose_errands,bike_purpose_transit,bike_purpose_recreation,bike_purpose_commute,bike_purpose_appointment,bike_purpose_other,no_bike_nyc_bike_lanes,no_bike_nyc_paving,no_bike_nyc_storage,no_bike_nyc_long_trips,no_bike_nyc_showers,no_bike_nyc_modes,no_bike_nyc_unable,no_bike_nyc_other,bike_share_citi_bike,bike_share_jump,bike_share_lime,bike_share_none,bike_share_user,citi_bike_freq,jump_freq,lime_freq,no_bike_share_unfamiliar,no_bike_share_expensive,no_bike_share_neighborhood,no_bike_share_stations,no_bike_share_personal_bike,no_bike_share_docks,no_bike_share_uncomfortable,no_bike_share_other,tnc_use_uber,tnc_use_lyft,tnc_use_via,tnc_use_juno,tnc_use_none,tnc_user,tnc_freq,tnc_purpose,tnc_mode,tnc_mode_auto,tnc_mode_taxi,tnc_mode_bus,tnc_mode_rail,tnc_mode_ferry,tnc_mode_bike,tnc_mode_scooter,car_share_zipcar,car_share_car2go,car_share_enterprise,car_share_other,car_share_none,car_share_user,packages,packages_distance,harassment,harassment_trip,harassment_time,harassment_route,harassment_transit,harassment_mode,harassment_neighborhood,harassment_private_car,harassment_alone,harassment_attention,harassment_defense,harassment_other,harassment_none,gender,education,english_proficiency,ethnicity,race_american_indian,race_asian,race_black,race_native_hawaiian,race_white,race_other,disability_hearing,disability_seeing,disability_walking,disability_mobility,disability_dressing,disability_concentrating,disability_none
Northern Bronx,26.0,7.0,0.0,0.0,0.0,1.0,2.0,5.0,06/08/2019,06/14/2019,1.0,2,7,1,1,0,1,1,4,2,8,1,1,2,8,Manhattan Core,0,100,6,3,3,1,9.0,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,0,0,995,995,995,995,995,995,0,0,0,0,0,0,0,1,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,1,1,0,0,0,1,5,7,100,995,995,995,995,995,995,995,0,0,0,0,1,0,7,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,3,1,997,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,30.0,16.0,8.0,0.0,0.0,0.0,1.0,3.0,06/07/2019,06/13/2019,1.0,2,7,1,1,0,1,1,4,7,7,2,1,8,8,Manhattan Core,0,105,995,995,995,995,,,,,995,995,30,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,2,995,4,995,995,995,995,995,995,995,995,995,995,995,995,2,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,17.0,4.0,1.0,0.0,0.0,0.0,2.0,5.0,06/04/2019,06/10/2019,1.0,1,6,1,1,0,0,995,3,995,6,1,1,9,7,,0,101,995,995,995,995,,,,,34,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,0,0,995,995,995,995,995,995,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,1,1,0,0,0,1,7,60,1,995,995,995,995,995,995,995,0,0,0,0,1,0,1,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,6,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,48.0,32.0,23.0,0.0,0.0,2.0,2.0,4.0,06/09/2019,06/15/2019,1.0,2,5,1,1,0,1,995,5,995,4,2,2,8,5,Upper Manhattan,0,102,995,995,995,995,,,,,995,23,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,1,0,0,0,0,1,0,0,0,1,0,995,995,995,0,0,1,0,0,0,0,1,1,1,0,0,0,1,5,1,102,995,995,28,995,995,995,995,0,0,0,0,1,0,6,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,30.0,18.0,6.0,0.0,0.0,0.0,2.0,5.0,06/07/2019,06/13/2019,1.0,1,9,6,0,0,1,1,2,8,6,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,0,0,995,995,995,995,995,995,0,0,0,1,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,2,995,4,995,995,995,995,995,995,995,995,995,995,995,995,2,3,1,3,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,50.0,25.0,3.0,0.0,0.0,0.0,0.0,5.0,06/10/2019,06/16/2019,1.0,2,4,7,1,1,1,997,2,8,4,2,1,1,5,,0,105,995,995,995,995,,,,,995,995,30,995,995,995,995,995,995,10,,1,995,1,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,7,101,34,995,995,995,995,995,995,0,0,0,0,1,0,2,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Outer Brooklyn,5.0,0.0,2.0,0.0,0.0,0.0,1.0,4.0,06/20/2019,06/26/2019,1.0,1,9,6,0,0,1,995,1,995,6,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,0,1,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,0,1,1,0,0,0,0,1,6,99,105,995,995,995,30,995,995,995,0,0,0,1,0,1,5,2,4,995,995,995,995,995,995,995,995,995,995,995,995,1,5,1,999,0,0,0,0,0,1,0,0,1,0,1,0,0
Northern Bronx,27.0,11.0,14.0,0.0,0.0,0.0,1.0,5.0,05/27/2019,06/02/2019,1.0,2,6,1,1,0,1,1,5,7,4,1,1,4,7,Manhattan Core,0,105,995,995,995,995,,,,,995,995,58,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,0,1,1,1,1,0,0,1,6,1,106,995,108,995,995,995,995,995,0,0,0,0,1,0,7,995,1,0,0,0,0,0,0,0,0,1,0,0,0,1,6,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,06/10/2019,06/16/2019,0.0,2,4,6,0,1,0,995,4,995,2,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,997,,1,995,102,995,995,995,,,,,995,23,995,995,995,995,995,995,995,995,995,3,995,0,0,0,1,0,0,0,995,995,995,995,995,995,995,995,0,1,0,0,1,995,5,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1,0,0,0,0,1,7,3,101,17,995,995,995,995,995,995,0,0,0,0,1,0,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,47.0,32.0,18.0,0.0,0.0,1.0,1.0,4.0,06/10/2019,06/16/2019,1.0,2,6,1,1,0,1,1,2,7,1,1,1,7,8,Upper Manhattan,0,105,995,995,995,995,,,,,995,995,30,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,1,0,0,1,0,1,4,1,105,995,995,995,30,995,995,995,0,0,0,0,1,0,7,995,1,0,0,0,0,0,0,0,0,0,0,0,1,1,7,1,997,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,76.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,06/08/2019,06/14/2019,1.0,2,6,1,1,0,-9998,995,-9998,-9998,-9998,1,1,14,2,Northern Bronx,0,100,6,3,1,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,2,-9998,-9998,1,0,0,0,0,0,1,0,0,0,0,0,0,1
Northern Bronx,14.0,14.0,0.0,0.0,0.0,0.0,2.0,5.0,06/02/2019,06/08/2019,1.0,1,5,1,1,0,0,995,4,995,6,1,1,18,8,Northern Bronx,0,1,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,0,0,995,995,995,995,995,995,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,1,0,0,0,0,0,0,1,1,0,0,0,1,7,7,106,995,36,995,995,995,995,995,0,0,0,0,1,0,2,995,4,995,995,995,995,995,995,995,995,995,995,995,995,2,7,1,997,0,0,0,0,0,1,0,0,0,0,0,0,1
Northern Bronx,35.0,16.0,0.0,0.0,0.0,0.0,2.0,5.0,06/05/2019,06/11/2019,1.0,1,10,6,0,0,1,1,1,7,6,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,0,0,995,995,995,995,995,995,1,1,0,0,0,1,1,0,0,0,0,1,0,995,995,995,0,0,1,0,0,0,1,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,1,995,4,995,995,995,995,995,995,995,995,995,995,995,995,2,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,20.0,3.0,9.0,0.0,0.0,0.0,2.0,3.0,06/11/2019,06/17/2019,1.0,2,6,1,1,0,1,1,5,8,1,1,1,7,8,Southern Bronx,0,100,6,2,5,1,8.0,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,1,0,0,0,0,1,5,99,106,995,60,995,995,995,995,995,0,0,0,0,1,0,7,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,7,1,3,999,999,999,999,999,999,0,0,0,0,0,0,1
Northern Bronx,37.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,06/07/2019,06/13/2019,1.0,2,5,1,1,0,1,1,4,8,4,1,1,8,6,Northern Bronx,0,100,6,4,1,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,1,1,0,0,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,1,1,0,0,0,1,6,2,100,995,995,995,995,995,995,995,0,0,1,0,0,1,6,2,4,995,995,995,995,995,995,995,995,995,995,995,995,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,32.0,15.0,10.0,0.0,0.0,5.0,2.0,4.0,06/11/2019,06/17/2019,1.0,1,7,6,0,0,0,995,2,995,1,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,1,0,0,0,0,0,1,1,0,0,0,1,4,7,106,995,60,995,995,995,995,995,0,0,0,0,1,0,2,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,4,1,997,999,999,999,999,999,999,0,0,0,0,0,0,1
Northern Bronx,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,06/08/2019,06/14/2019,1.0,1,7,1,1,0,-9998,995,-9998,-9998,-9998,4,2,18,995,Southern Bronx,0,100,6,4,1,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,995,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1,-9998,-9998,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,17.0,12.0,5.0,0.0,0.0,0.0,1.0,4.0,06/01/2019,06/07/2019,1.0,2,5,6,0,0,1,995,5,995,7,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,1,1,1,0,0,0,0,0,0,0,0,1,0,995,995,995,1,0,1,1,0,1,0,0,1,0,0,0,0,1,6,4,105,995,995,995,30,995,995,995,1,0,0,0,0,1,4,3,4,995,995,995,995,995,995,995,995,995,995,995,995,1,6,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,43.0,9.0,4.0,0.0,1.0,0.0,2.0,1.0,05/24/2019,05/30/2019,1.0,2,8,1,1,0,0,997,4,8,2,1,6,18,8,,1,5,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,2,995,0,0,0,1,0,0,0,995,995,995,995,995,995,995,995,0,0,0,1,0,995,995,995,0,1,0,0,0,0,0,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,6,3,4,995,995,995,995,995,995,995,995,995,995,995,995,2,999,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,54.0,17.0,17.0,0.0,0.0,2.0,1.0,1.0,06/11/2019,06/17/2019,1.0,2,5,1,1,0,1,995,5,995,2,2,1,14,8,Manhattan Core,0,105,995,995,995,995,,,,,995,995,30,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,1,1,0,1,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4,1,106,995,60,995,995,995,995,995,0,0,0,0,1,0,1,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,999,2,997,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,20.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,06/13/2019,06/19/2019,1.0,2,5,1,1,0,-9998,995,-9998,995,-9998,1,1,16,8,,1,105,995,995,995,995,,,,,995,995,30,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1,1,0,0,0,1,6,1,105,995,995,995,30,995,995,995,1,0,0,0,0,1,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,2,-9998,-9998,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,27.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,06/12/2019,06/18/2019,1.0,1,6,1,1,2,-9998,995,-9998,995,-9998,1,1,16,8,,1,101,995,995,995,995,,,,,22,995,995,995,995,995,995,995,995,11,,1,995,101,995,995,995,,,,,22,995,995,995,995,995,995,995,995,995,995,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,995,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1,-9998,-9998,3,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,72.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,06/09/2019,06/15/2019,1.0,1,4,7,1,1,1,1,4,8,-9998,4,1,12,995,,0,101,995,995,995,995,,,,,22,995,995,995,995,995,995,995,995,10,,1,995,102,995,995,995,,,,,995,25,995,995,995,995,995,995,995,995,995,2,995,0,0,0,1,0,0,0,995,995,995,995,995,995,995,995,0,0,0,1,0,995,995,995,0,0,0,0,1,0,0,0,1,1,0,0,0,1,6,50,102,995,995,23,995,995,995,995,0,0,0,0,1,0,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,2,-9998,-9998,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Northern Bronx,38.0,22.0,17.0,0.0,1.0,0.0,2.0,5.0,05/28/2019,06/03/2019,1.0,1,8,6,0,0,0,995,3,995,4,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,6,0,0,995,995,995,995,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,995,995,995,0,0,0,0,0,0,0,1,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,0,0,0,1,0,1,2,995,3,1,0,0,1,0,0,0,0,1,0,0,0,1,3,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0
Northern Bronx,30.0,0.0,0.0,4.0,0.0,1.0,1.0,5.0,06/04/2019,06/10/2019,1.0,2,7,1,1,0,0,996,5,7,4,1,1,6,8,Southern Bronx,0,100,6,6,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,1,995,0,0,0,0,1,0,0,995,995,995,995,995,995,995,995,0,0,0,1,0,995,995,995,0,0,1,0,0,0,0,0,1,1,0,1,0,1,7,2,100,995,995,995,995,995,995,995,0,0,0,0,1,0,2,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,3,1,3,999,999,999,999,999,999,0,0,0,0,0,0,1
Northern Bronx,24.0,8.0,0.0,0.0,0.0,0.0,2.0,5.0,06/08/2019,06/14/2019,1.0,1,8,1,1,0,1,1,4,8,7,4,1,8,995,,0,100,7,6,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,2,0,0,0,0,1,0,0,0,995,995,995,995,995,995,995,995,0,0,0,1,0,995,995,995,0,0,0,0,1,0,0,0,1,0,0,0,0,1,6,1,100,995,995,995,995,995,995,995,0,0,0,0,1,0,2,995,1,1,0,0,0,0,0,0,0,0,0,0,0,2,7,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,45.0,11.0,12.0,0.0,0.0,0.0,0.0,2.0,06/04/2019,06/10/2019,1.0,1,9,6,0,0,1,1,2,7,5,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,0,0,0,0,1,0,995,995,995,995,995,995,995,995,995,995,0,0,0,0,1,0,2,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Northern Bronx,7.0,2.0,2.0,0.0,0.0,3.0,2.0,5.0,05/29/2019,06/04/2019,1.0,1,7,1,1,0,1,995,4,995,8,3,1,8,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,4,0,0,0,0,1,0,0,0,995,995,995,995,995,995,995,995,0,0,0,1,0,995,995,995,0,1,1,1,1,0,0,0,1,0,0,0,0,1,7,1,105,995,995,995,30,995,995,995,0,0,0,0,1,0,2,995,1,1,0,0,1,1,0,0,0,1,1,0,0,1,6,1,4,0,0,1,0,0,0,0,0,0,0,0,0,1
Outer Brooklyn,45.0,38.0,0.0,0.0,0.0,6.0,2.0,5.0,05/30/2019,06/05/2019,1.0,2,5,2,1,0,0,995,4,995,6,1,1,10,8,Outer Brooklyn,0,106,995,995,995,995,,,,,995,995,995,995,49,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,0,0,995,995,995,995,995,995,0,0,0,0,0,0,0,1,0,0,0,1,0,995,995,995,0,0,1,0,0,0,0,0,1,0,0,0,0,1,2,2,1,995,995,995,995,995,995,995,0,0,0,0,1,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,06/10/2019,06/16/2019,0.0,1,4,6,0,1,-9998,995,-9998,995,-9998,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,10,,1,995,102,995,995,995,,,,,995,61,995,995,995,995,995,995,995,995,995,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,995,995,995,995,995,995,995,995,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,1,-9998,-9998,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Northern Bronx,7.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,06/08/2019,06/14/2019,1.0,1,8,1,1,0,1,2,2,6,-9998,2,1,14,1,Southern Bronx,0,100,7,4,1,995,,,,,995,995,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,0,0,1,0,0,0,1,0,995,995,995,0,0,0,0,1,0,1,1,1,0,0,0,0,1,6,99,100,995,995,995,995,995,995,995,0,0,0,0,1,0,-9998,995,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,-9998,2,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,23.0,9.0,5.0,0.0,0.0,2.0,2.0,4.0,06/05/2019,06/11/2019,1.0,1,7,1,1,0,1,996,2,7,2,1,1,8,8,Northern Bronx,0,102,995,995,995,995,,,,,995,23,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,1,1,1,1,0,0,0,0,0,0,0,1,0,995,995,995,0,0,1,1,0,0,0,0,1,1,0,1,0,1,5,7,102,995,995,23,995,995,995,995,0,0,0,0,1,0,7,995,4,995,995,995,995,995,995,995,995,995,995,995,995,1,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1
Northern Bronx,21.0,9.0,3.0,0.0,0.0,0.0,2.0,5.0,06/07/2019,06/13/2019,1.0,2,8,1,1,0,0,995,3,995,6,2,2,9,8,,0,102,995,995,995,995,,,,,995,55,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,0,0,995,995,995,995,995,995,0,0,0,1,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,1,0,0,0,0,1,7,7,106,995,60,995,995,995,995,995,0,0,0,0,1,0,7,995,3,0,1,0,0,0,0,0,0,0,0,0,0,1,999,1,1,999,999,999,999,999,999,0,0,0,0,0,0,1
Northern Bronx,51.0,25.0,22.0,0.0,0.0,0.0,2.0,5.0,06/01/2019,06/07/2019,1.0,2,8,1,1,0,1,1,3,8,8,1,1,8,8,Manhattan Core,0,102,995,995,995,995,,,,,995,55,995,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,0,0,995,995,995,995,995,995,0,0,0,1,0,0,0,0,0,0,0,1,0,995,995,995,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7,99,106,995,60,995,995,995,995,995,0,0,0,0,1,0,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1
Northern Bronx,20.0,8.0,3.0,0.0,0.0,0.0,2.0,4.0,06/05/2019,06/11/2019,1.0,1,6,1,1,0,1,995,5,995,2,1,1,18,8,Manhattan Core,0,105,995,995,995,995,,,,,995,995,42,995,995,995,995,995,995,995,,0,995,995,995,995,995,,,,,995,995,995,995,995,995,995,995,995,995,995,5,995,0,995,995,995,995,995,995,0,0,0,0,0,0,0,1,0,0,0,1,0,995,995,995,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,99,106,995,60,995,995,995,995,995,0,0,0,0,1,0,1,995,3,0,0,1,0,1,0,0,0,1,1,0,0,1,6,1,997,0,0,0,0,0,1,0,0,0,0,0,0,1
